Site,Abbreviation,Date,Location,Latitude,Longitude
Lilliwaup Tidelands State Park,LL,201703,Intertidal,47.46145,-123.106219
Potlatch State Park,PO,201703,Intertidal,47.36046,-123.15618
Salisbury Point County Park,SA,201703,Intertidal,47.85654,-122.605958
Triton Cove State Park,TR,201703,Intertidal,47.60798,-122.985633
Twanoh State Park,TW,201703,Intertidal,47.37852,-122.974942
Lilliwaup Tidelands State Park,LL,201705,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201705,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201705,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201705,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201705,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201706,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201706,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201706,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201706,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201706,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201707,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201707,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201707,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201707,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201707,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201708,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201708,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201708,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201708,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201708,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201709,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201709,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201709,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201709,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201709,Intertidal,47.378519,-122.974942
P12,NA,201709,Nearshore (WOAC),47.42533,-123.10800
P402,NA,201709,Nearshore (WOAC),47.35633,-123.02367
Lilliwaup Tidelands State Park,LL,201711,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201711,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201711,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201711,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201711,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201801,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201801,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201801,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201801,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201801,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201803,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201803,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201803,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201803,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201803,Intertidal,47.378519,-122.974942
P8,NA,201804,Nearshore (WOAC),47.89750,-122.60533
P12,NA,201804,Nearshore (WOAC),47.42533,-123.10800
P402,NA,201804,Nearshore (WOAC),47.35633,-123.02367
Lilliwaup Tidelands State Park,LL,201805,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201805,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201805,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201805,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201805,Intertidal,47.378519,-122.974942
Lilliwaup Tidelands State Park,LL,201807,Intertidal,47.461451,-123.106219
Potlatch State Park,PO,201807,Intertidal,47.360463,-123.15618
Salisbury Point County Park,SA,201807,Intertidal,47.856544,-122.605958
Triton Cove State Park,TR,201807,Intertidal,47.607978,-122.985633
Twanoh State Park,TW,201807,Intertidal,47.378519,-122.974942
P14,NA,201809,Nearshore (WOAC),47.60667,-122.94017
P12,NA,201809,Nearshore (WOAC),47.42533,-123.10800
P11,NA,201809,Nearshore (WOAC),47.37083,-123.13333