Site,Date,Area,mean.TA,mean.DIC,Salinity,DO (%),DO (mg/l),Temperature,Omega.aragonite
PO,201703,Hood Canal Intertidal,1560.245,1493.7088,24.037721,NA,NA,8.6,0.8364179765652054
TW,201703,Hood Canal Intertidal,1378.545,1307.296,17.579481,NA,NA,7,0.8577745500024611
LL,201703,Hood Canal Intertidal,1879.915,1780.3638,22,NA,NA,10,1.2603081109677892
SA,201703,Hood Canal Intertidal,2010.605,1899.8582,30,NA,NA,10,1.3376062438145366
TR,201703,Hood Canal Intertidal,1943.785,1827.954,25,NA,NA,10,1.404792532634598
TR,201704,Hood Canal Intertidal,1833.125,1933.53,24,NA,NA,11.97,0.2193874805581315
SA,201704,Hood Canal Intertidal,2038.895,2263.7283,27,NA,NA,10.9,0.14347921278989073
LL,201704,Hood Canal Intertidal,1655.015,1830.2123,26.323308,NA,NA,11.27,0.11982643881779796
PO,201704,Hood Canal Intertidal,1082.785,1251.2474,9.619029,NA,NA,13.8,0.0442216623908367
TW,201704,Hood Canal Intertidal,1590.885,1774.9864,21.816001,NA,NA,14.9,0.10732637900083788
LL,201705,Hood Canal Intertidal,1534.355,1362.3133,23.859148,NA,NA,18.1,1.8650672353227502
PO,201705,Hood Canal Intertidal,1493.355,1350.8542,21.692174,NA,NA,18.05,1.5979611909167137
SA,201705,Hood Canal Intertidal,2012.515,1708.3484,33.988207,NA,NA,12.71,3.074369778554521
SA,201705,Hood Canal Intertidal,2012.515,1708.3484,33.988207,NA,NA,12.71,3.074369778554521
TR,201705,Hood Canal Intertidal,1603.395,1378.989,26.855765,NA,NA,17.5,2.3341359236434687
TW,201705,Hood Canal Intertidal,1521.995,1388.5175,21.692174,NA,NA,19.23,1.5376916860431211
CP,201706,San Juan Islands,2105.785,1861.4179,34.322541,100,NA,11.2,2.533104786808773
LK,201706,San Juan Islands,2119.715,1866.203,34.322541,100.6,NA,11.2,2.6266932033366337
FH,201706,San Juan Islands,1969.255,1814.6127,29.307542,81.7,NA,11.63,1.735433192687635
SA,201706,Hood Canal Intertidal,1895.86,1674.9639,31.474517,NA,9.45,15.6,2.3263045920099854
TR,201706,Hood Canal Intertidal,1741.58,1550.5498,27.598728,NA,8.26,17.82,2.0764392226377932
TW,201706,Hood Canal Intertidal,1715.98,1551.6865,24.329691,NA,8.23,21.5,1.9208993002138912
PO,201706,Hood Canal Intertidal,1598.24,1476.6311,26.521432,NA,8.5,17.48,1.3676033592948698
LL,201706,Hood Canal Intertidal,1605.75,1503.273,26.100419,NA,8.62,17.94,1.2104864428407827
SA,201707,Hood Canal Intertidal,1888.19,1623.4207,27.147244,72.4,6.25,17.5,2.9068527544935514
TR,201707,Hood Canal Intertidal,1701.44,1519.9789,24.157318,58.4,4.7,20.5,2.0763982753489305
LL,201707,Hood Canal Intertidal,1541.73,1390.4168,19.373436,55,4.95,16.4,1.7362212727491766
TW,201707,Hood Canal Intertidal,1743.3,1576.5694,23.918124,57.6,5.1,16.8,1.9001509825730147
PO,201707,Hood Canal Intertidal,1710.57,1559.7343,23.28426,42,3.32,22.1,1.8114860902241325
CP,201707,San Juan Islands,2124.11,1943.3268,32.648708,100,9.4,11.9,1.9934975051492156
LK,201707,San Juan Islands,2153.27,1914.341,30.017573,118,10.8,12.3,2.629757997595903
FH,201707,San Juan Islands,2108.65,2015.4631,29.060797,68.6,6.45,11.25,1.2452432083429914
CP,201708,San Juan Islands,2118.86,2089.1856,29.539185,76,7.9,11.4,0.7787088418370762
LK,201708,San Juan Islands,2148.18,2129.2948,29.897976,68.7,6.6,10.9,0.7203966364341087
FH,201708,San Juan Islands,2092.57,2052.0906,28.9412,67,6.37,11.91,0.8440582318515093
SA,201708,Hood Canal Intertidal,2094.11,1920.2086,27.972464,87.2,7.78,14.7,2.0303542509401944
TR,201708,Hood Canal Intertidal,1807.11,1652.6672,24.827062,77.1,6.31,19.87,1.8325248217802692
LL,201708,Hood Canal Intertidal,1700.03,1619.2449,23.918124,83.1,6.94,18.4,1.0856318466777997
PO,201708,Hood Canal Intertidal,1809.73,1715.6453,23.918124,79.1,6.7,18.12,1.2450838870133794
TW,201708,Hood Canal Intertidal,1717.49,1630.9199,22.961348,77.5,6.32,19.97,1.1687969015716309
SA,201709,Hood Canal Intertidal,2051.87,1955.3602,32,75,6.7,12.6,1.2390755205509798
TR,201709,Hood Canal Intertidal,1961.26,1851.1381,30,72.3,6.63,12.86,1.337160620975345
TW,201709,Hood Canal Intertidal,1832.89,1695.7015,25,97,8.23,16.7,1.6304397643277158
LL,201709,Hood Canal Intertidal,1924.34,1819.2398,32,93.2,8.56,12.7,1.2589287503131632
PO,201709,Hood Canal Intertidal,1653.07,1598.887,20,86.7,8.08,12.38,0.8188080246323257
CP,201709,San Juan Islands,2125.3,1983.0959,35,102.7,9.43,11.02,1.6031102936510928
LK,201709,San Juan Islands,2147.09,1978.0328,35,109,9.9,11.3,1.848934265630514
FH,201709,San Juan Islands,2120.94,2056.864,34,65,6.13,11.07,0.9932829157886636
CP,201710,San Juan Islands,2122.01,2029.8364,35,100,9.4,10.15,1.1874426738198056
FH,201710,San Juan Islands,2121.66,2059.7053,35,77,7.34,10.4,0.9687152176579865
LK,201710,San Juan Islands,2133.69,2062.314,35,82,7.75,10.04,1.0368504972712955
SA,201710,Hood Canal Intertidal,2090.85,2025.8142,34,53.5,6.5,11,0.9882482697267453
PO,201710,Hood Canal Intertidal,2022.81,2023.7048,29,47,4.4,11.6,0.5761461086091414
TW,201710,Hood Canal Intertidal,1798.95,1749.2509,26,80,7.4,11.9,0.8095746136159099
TR,201710,Hood Canal Intertidal,NA,1972.6349,32.5,72.5,6.6,11,NA
LL,201710,Hood Canal Intertidal,1750.16,1773.7056,30,61.2,5.81,11,0.3902544574181426
SA,201711,Hood Canal Intertidal,2025.886,1936.7228,32,68,6.44,10,1.1495230540019208
TR,201711,Hood Canal Intertidal,2002.173,1923.6023,29,53,4.8,11,1.0841972709663743
PO,201711,Hood Canal Intertidal,1554.375,1489.5078,20,71.5,7.15,9.8,0.853010372629994
TW,201711,Hood Canal Intertidal,1434.955,1367.3444,20,82,8.4,9.2,0.829027244339689
LL,201711,Hood Canal Intertidal,1399.697,1581.3766,26.190468,70,6.7,10.3,0.08299411707821297
CP,201711,San Juan Islands,2123.846,2012.1903,35,88.7,8.55,9.23,1.3343936893377424
LK,201711,San Juan Islands,2178.625,2032.2959,35,86.7,8.32,9.3,1.6461208713283024
FH,201711,San Juan Islands,2109.412,2039.4518,34.5,70.5,6.78,9.22,1.014954826795209
SA,201712,Hood Canal Intertidal,2088.2543,1995.8384,34,69.5,6.75,9.3,1.1783134043575074
TR,201712,Hood Canal Intertidal,1122.7543,1176.0032,18,91,10.4,5.8,0.1258920494280597
LL,201712,Hood Canal Intertidal,1060.2863,1053.8935,15,85.4,9.8,6.5,0.28865791807604946
PO,201712,Hood Canal Intertidal,846.1183,836.8334,8,86.4,10.5,5.8,0.24394674948586495
TW,201712,Hood Canal Intertidal,1306.1293,1116.0058,12.5,87.7,10.12,6.6,2.1343302327591953
CP,201712,San Juan Islands,2130.286,1972.7489,34,70,6.89,8.8,1.734130220069693
LK,201712,San Juan Islands,2116.47,1972.7719,33,86,8.4,9,1.6230444041524057
FH,201712,San Juan Islands,2082.907,1973.0009,33,71,6.9,8.9,1.3217694069977743
CP,201801,San Juan Islands,2129.335,2040.3645,35,67,6.6,8,1.1507427486645823
LK,201801,San Juan Islands,2155.535,2060.2665,34,67.1,6.6,8.13,1.2180210429368006
FH,201801,San Juan Islands,2110.255,2065.4895,34,58.5,5.74,7.98,0.8389439058928789
SA,201801,Hood Canal Intertidal,1985.2153,1837.4449,30,85.8,8.7,7.98,1.6362875318325343
TR,201801,Hood Canal Intertidal,1738.1503,1639.5022,28,64.2,6.66,8.32,1.1336795082571909
LL,201801,Hood Canal Intertidal,1863.9043,1751.1915,30,52.7,5.31,9.12,1.2889087590315147
PO,201801,Hood Canal Intertidal,2010.8883,1904.9596,25,49,4.8,9.99,1.3400401380211515
TW,201801,Hood Canal Intertidal,1420.4293,1260.4876,15.366935,58.3,6.57,7.17,1.7790509250274218
CP,201802,San Juan Islands,2128.905,1956.0525,27,156,15.8,7.3,1.968520898011868
LK,201802,San Juan Islands,2127.985,2012.7073,27,NA,12.33,8,1.4333399561822016
FH,201802,San Juan Islands,NA,2021.837,26,94.2,9.47,7.85,NA
SA,201802,Hood Canal Intertidal,2054.605,1959.0037,31,62,6.15,7.9,1.204082370761364
TR,201802,Hood Canal Intertidal,2012.185,1886.5761,30,62.2,6.2,7.5,1.4467874316949036
LL,201802,Hood Canal Intertidal,1262.615,1188.3784,20,71.3,7.4,6.5,0.8041503207043091
PO,201802,Hood Canal Intertidal,1802.595,1622.0865,20,70.8,7.41,7,2.0288073041159955
TW,201802,Hood Canal Intertidal,1683.015,1530.832,24,71,7.87,5.2,1.6095209440183365
CP,201803,San Juan Islands,2117.865,1937.1909,30,180,17.4,8.8,2.0050751658470323
LK,201803,San Juan Islands,2150.9233,1994.6985,34,102,10,8.7,1.7305131461754966
FH,201803,San Juan Islands,2124.75,2008.4915,31,66,6.5,9,1.4116860050537696
SA,201803,Hood Canal Intertidal,2002.9733,1848.1785,30,87.8,8.5,10,1.7254498017597557
TR,201803,Hood Canal Intertidal,1966.8933,1839.7845,30,81,8,9.7,1.4592203951479754
LL,201803,Hood Canal Intertidal,1735.0767,1630.7066,26,81.4,8.05,9.53,1.207497520137266
PO,201803,Hood Canal Intertidal,2057.2567,1922.0252,30,64.5,6.15,10.8,1.5780016943039759
TW,201803,Hood Canal Intertidal,1765.85,1586.9426,21,75,7.48,10.29,2.01153207101472
SA,201804,Hood Canal Intertidal,2090.495,1905.6817,25,NA,NA,10.1,2.133708553460533
TR,201804,Hood Canal Intertidal,1870.315,1709.8271,25,NA,NA,11.8,1.8163330864890146
LL,201804,Hood Canal Intertidal,948.265,896.8679,7,NA,NA,11.8,0.6658959761010766
PO,201804,Hood Canal Intertidal,970.595,930.4527,6,NA,NA,12.3,0.5682832844576851
TW,201804,Hood Canal Intertidal,1579.43,1454.88,18,NA,NA,12.75,1.4805071709909328
CP,201804,San Juan Islands,2126.325,1977.3969,35,54.8,NA,9.47,1.6479261847462776
LK,201804,San Juan Islands,2138.055,2002.005,35,50.7,NA,9.25,1.5413945372147464
FH,201804,San Juan Islands,2094.055,1952.1724,34,51.2,NA,9.42,1.5877631248906645
SA,201805,Hood Canal Intertidal,2011.315,1682.3065,28,105,9.25,15.4,3.5845348595419586
TR,201805,Hood Canal Intertidal,1868.115,1518.3581,25,95,8.15,17,3.8593870180668306
LL,201805,Hood Canal Intertidal,1430.405,1258.472,16,105,9.84,15.4,1.9921195200777915
PO,201805,Hood Canal Intertidal,1681.115,1493.8088,20,102,9.8,13.7,2.1257085807367067
TW,201805,Hood Canal Intertidal,1687.945,1477.1231,20,92,8.08,17,2.4298398622649695
CP,201805,San Juan Islands,2138.81,1960.3559,33,74,6.8,11.2,1.9649779736462638
LK,201805,San Juan Islands,2139.145,1986.5309,34,72,6.8,11,1.713953654683475
FH,201805,San Juan Islands,2128.605,1990.4757,32,56.1,NA,10.3,1.6035144879046954
SA,201806,Hood Canal Intertidal,2112.595,1870.2028,33,97.7,9.02,12.42,2.5678688265276643
TR,201806,Hood Canal Intertidal,1972.785,1698.1341,30,115,10.02,15.5,2.9356054238632594
LL,201806,Hood Canal Intertidal,1970.715,1763.2122,29,113,9.84,16,2.3004247361416517
PO,201806,Hood Canal Intertidal,1983.085,1763.5306,27,96,8.5,15.51,2.4672483874721225
TW,201806,Hood Canal Intertidal,1868.975,1680.4345,25,94.9,8.17,16.87,2.1598455035123085
CP,201806,San Juan Islands,2102.415,1900.2463,34,101,9.4,12,2.154955996891646
LK,201806,San Juan Islands,2109.675,1968.8591,34,116.5,10.68,12.53,1.6125804859007562
FH,201806,San Juan Islands,2118.155,1851.2783,31,86.5,8.11,11.55,2.853891525839102
SA,201807,Hood Canal Intertidal,2145.8067,1914.7494,31,97.1,8.88,13.22,2.5358216953670225
TR,201807,Hood Canal Intertidal,1998.7967,1747.9586,26,97.6,7.85,20.4,2.9137133643755
LL,201807,Hood Canal Intertidal,1888.2167,1609.2283,15,118,9.8,19.2,3.5831345395784098
PO,201807,Hood Canal Intertidal,1954.0667,1728.197,22,103,8.3,20.4,2.735643607149154
TW,201807,Hood Canal Intertidal,1864.9667,1620.2079,18,112,8.8,22.6,3.110491057562189
CP,201807,San Juan Islands,2136.5467,1922.7358,32,101,9.51,12,2.3250208513083512
LK,201807,San Juan Islands,2080.6367,1857.1973,32,116,10.86,12.47,2.3953943619795144
FH,201807,San Juan Islands,2111.6067,1969.4361,30,77,7.3,11.8,1.6728444743730169
SA,201808,Hood Canal Intertidal,2242.0467,1844.2141,30,117,10.5,15.13,4.37705406504754
TR,201808,Hood Canal Intertidal,2002.1267,1637.3027,25,80,6.17,22.6,4.2596842075861225
LL,201808,Hood Canal Intertidal,1877.5267,1602.3244,20,82,6.59,21.5,3.347773368768914
PO,201808,Hood Canal Intertidal,1772.0767,1625.2036,17,71,5.63,22.4,1.9497928309989179
TW,201808,Hood Canal Intertidal,1919.4967,1733.46,21,68.7,5.3,23.2,2.3576948120211996
CP,201808,San Juan Islands,2159.0867,1773.2901,32,102,9.45,12.8,4.059693354505348
LK,201808,San Juan Islands,2175.3167,1872.8786,31,92.6,8.75,12.14,3.2510681604987695
FH,201808,San Juan Islands,2133.8067,2005.3869,30,60,5.4,12,1.559235337880922
SA,201809,Hood Canal Intertidal,NA,NA,31,NA,NA,13.6,NA
TR,201809,Hood Canal Intertidal,NA,NA,30,NA,NA,13.44,NA
LL,201809,Hood Canal Intertidal,NA,NA,30,NA,NA,12.1,NA
PO,201809,Hood Canal Intertidal,NA,NA,23,NA,NA,11.4,NA
TW,201809,Hood Canal Intertidal,NA,NA,28,NA,NA,18.1,NA
CP,201809,San Juan Islands,NA,NA,35,NA,NA,11,NA
LK,201809,San Juan Islands,NA,NA,34,NA,NA,11.37,NA
FH,201809,San Juan Islands,NA,NA,31,NA,NA,11.12,NA
SA,201810,Hood Canal Intertidal,NA,NA,35,NA,NA,12,NA
TR,201810,Hood Canal Intertidal,NA,NA,31,NA,NA,12.6,NA
LL,201810,Hood Canal Intertidal,NA,NA,27,NA,NA,11,NA
PO,201810,Hood Canal Intertidal,NA,NA,28,NA,NA,11.13,NA
TW,201810,Hood Canal Intertidal,NA,NA,30,NA,NA,13.2,NA
CP,201810,San Juan Islands,NA,NA,34,NA,NA,10.3,NA
LK,201810,San Juan Islands,NA,NA,35,NA,NA,10.2,NA
FH,201810,San Juan Islands,NA,NA,34,NA,NA,10.2,NA
SA,201811,Hood Canal Intertidal,NA,NA,34,NA,NA,10.52,NA
TR,201811,Hood Canal Intertidal,NA,NA,35,NA,NA,10.5,NA
LL,201811,Hood Canal Intertidal,NA,NA,30,NA,NA,9.5,NA
PO,201811,Hood Canal Intertidal,NA,NA,30,NA,NA,9.88,NA
TW,201811,Hood Canal Intertidal,NA,NA,25,NA,NA,9.56,NA
SA,201812,Hood Canal Intertidal,NA,NA,32,76,7.5,9.3,NA
TR,201812,Hood Canal Intertidal,NA,NA,32,67.6,6.5,9.8,NA
LL,201812,Hood Canal Intertidal,NA,NA,31,67.7,6.5,9.15,NA
PO,201812,Hood Canal Intertidal,NA,NA,30,51,5.16,9.46,NA
TW,201812,Hood Canal Intertidal,NA,NA,28,58,5.95,9.2,NA
CP,201901,San Juan Islands,NA,NA,35,97,9.8,8.5,NA
LK,201901,San Juan Islands,NA,NA,35,93,9.3,8.75,NA
FH,201901,San Juan Islands,NA,NA,35,89.7,8.99,8.67,NA
CP,201902,San Juan Islands,NA,NA,34,99.1,10.32,7.33,NA
LK,201902,San Juan Islands,NA,NA,34,108,10.82,8.03,NA
FH,201902,San Juan Islands,NA,NA,34,102,10.31,7.7,NA
SA,201903,Hood Canal Intertidal,NA,NA,31,100,9.8,9.8,NA
TR,201903,Hood Canal Intertidal,NA,NA,25,103,9.8,11.6,NA
LL,201903,Hood Canal Intertidal,NA,NA,28,NA,NA,11.2,NA
PO,201903,Hood Canal Intertidal,NA,NA,23,108,NA,11.1,NA
TW,201903,Hood Canal Intertidal,NA,NA,27,93,9.3,10.7,NA
